Description:,,,,,,,,,,,,,,,,,,,,,,
Source: https://doi.org/10.5061/dryad.9p8cz8wc6,,,,,,,,,,,,,,,,,,,,,,
"Citation: Acevedo, Miguel; Beaudrot, Lydia; Melendez-Ackerman, Elvia; Tremblay, Raymond (2020), Local extinction risk under climate change in a neotropical asymmetrically dispersed epiphyte, Dryad, Dataset, https://doi.org/10.5061/dryad.9p8cz8wc6",,,,,,,,,,,,,,,,,,,,,,
License: CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
UID,x.coord,y.coord,z.coord,Phorophyte,X70199,X20100,X80100,X10101,X60101,X10102,X60102,X120202,X61003,X12404,X71704,X12205,X91705,X72406,X20307,X61507,X10208,Total_Moss_area
74,130.5028739,-179.6044615,40.35500494,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
75,129.3700259,-179.8732006,40.46490046,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
76,127.5852701,-179.7204121,41.17186472,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
81,152.7026784,-180.9479347,43.25999083,ROCKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36
82,151.0145246,-180.1607357,42.61862156,ROCKS,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0
83,148.2702432,-181.2578808,42.06942322,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
84,145.6489831,-181.4411771,42.01319691,ROCKS,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,23
85,152.0579066,-185.0188636,44.52011287,TREES,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,20
93,154.8895776,-183.9882196,44.20339163,ROCKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,79
94,154.2549037,-184.9291624,42.89774405,ROCKS,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,5
95,151.7840257,-184.648325,43.23271757,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
96,149.9314813,-184.3784302,42.49090314,ROCKS,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0
97,151.293529,-185.860204,43.41535048,ROCKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32
98,150.3505206,-187.1116185,42.78226533,ROCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
99,149.2965128,-186.8997849,43.2183785,ROCKS,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
100,148.5960855,-186.6336835,43.26828644,ROCKS,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,18
